date,x1,x2,x3,x4,x5,x6,location
7/9/2020,93,37,4,0,2,34,8
7/8/2020,85,75,5,0,2,76,8
7/7/2020,102,76,6,0,2,76,8
7/6/2020,86,72,6,1,2,88,8
7/5/2020,82,63,5,1,2,70,8
7/4/2020,48,58,4,1,2,64,8
7/3/2020,62,59,4,1,0,30,8
7/2/2020,80,32,5,1,2,48,8
7/1/2020,51,55,5,1,2,66,8
6/30/2020,19,28,6,0,2,42,8
6/29/2020,83,48,3,1,1,14,8
6/28/2020,0,58,6,1,2,70,8
6/27/2020,0,78,7,1,2,0,8
6/26/2020,0,85,7,1,3,0,8
6/25/2020,18,77,4,1,2,0,8
6/24/2020,53,35,4,1,2,24,8
6/23/2020,93,50,5,1,1,54,8
6/22/2020,70,119,8,1,2,108,8
6/21/2020,77,103,6,1,2,82,8
6/20/2020,69,105,5,1,2,86,8
6/19/2020,42,105,6,1,2,78,8
6/18/2020,64,74,7,1,2,52,8
6/17/2020,76,58,6,1,2,70,8
6/16/2020,79,99,7,1,3,88,8
6/15/2020,79,82,8,1,4,88,8
6/14/2020,50,100,5,2,2,90,8
6/13/2020,56,66,3,1,2,58,8
6/12/2020,71,68,4,0,2,60,8
6/11/2020,47,55,9,0,2,88,8
6/10/2020,72,84,6,0,0,56,8
6/9/2020,99,105,7,1,2,96,8
6/8/2020,82,152,9,1,3,110,8
6/7/2020,76,108,4,1,3,102,8
6/6/2020,82,83,3,1,3,96,8
6/5/2020,76,76,5,1,3,96,8
6/4/2020,81,92,4,1,3,82,8
6/3/2020,65,74,5,1,3,100,8
6/2/2020,56,56,4,1,3,70,8
6/1/2020,55,40,1,1,2,52,8
5/31/2020,93,40,1,1,1,50,8
5/30/2020,60,72,1,2,1,88,8
5/29/2020,82,71,2,1,1,64,8
5/28/2020,82,78,1,1,1,98,8
5/27/2020,66,0,0,0,0,80,8
5/26/2020,90,0,0,0,0,62,8
5/25/2020,151,0,0,0,0,80,8
5/24/2020,0,0,0,0,0,88,8
5/23/2020,0,0,0,0,0,54,8
4/30/2020,99,0,0,0,0,0,8
4/29/2020,95,0,7,1,0,92,8
4/28/2020,73,77,5,1,0,96,8
4/27/2020,77,55,6,2,2,74,8
4/26/2020,66,45,3,1,2,82,8
4/25/2020,79,43,1,1,2,72,8
4/24/2020,59,70,1,2,2,110,8
4/23/2020,53,45,4,1,0,78,8
4/22/2020,46,38,3,1,2,92,8
4/21/2020,46,32,1,0,2,116,8
4/20/2020,43,38,3,0,0,66,8
4/19/2020,66,40,3,0,1,34,8
4/18/2020,68,34,6,0,1,56,8
4/17/2020,65,42,5,1,1,66,8
4/16/2020,99,34,5,1,1,58,8
4/15/2020,125,61,8,1,2,108,8
4/14/2020,80,81,10,2,3,122,8
4/13/2020,43,62,9,2,2,86,8
4/12/2020,69,36,3,1,1,46,8
4/11/2020,106,41,3,1,1,74,8
4/10/2020,86,49,6,2,2,102,8
4/9/2020,81,45,6,1,2,94,8
4/8/2020,69,40,7,1,2,90,8
4/7/2020,106,42,5,1,2,92,8
4/6/2020,89,68,10,4,2,124,8
4/5/2020,67,49,8,2,2,100,8
4/4/2020,96,43,4,1,2,86,8
4/3/2020,97,41,6,1,3,132,8
4/2/2020,82,49,8,2,3,104,8
4/1/2020,107,46,6,2,2,78,8
3/31/2020,0,52,11,2,3,130,8
3/29/2020,61,0,0,0,0,0,8
3/28/2020,44,42,5,0,1,76,8
3/27/2020,74,34,5,1,1,72,8
3/26/2020,118,32,6,1,1,68,8
3/25/2020,115,50,10,1,2,112,8
3/24/2020,133,66,11,2,2,112,8
3/23/2020,89,59,9,2,3,122,8
3/22/2020,90,46,8,3,2,98,8
3/21/2020,82,40,5,1,2,108,8
3/20/2020,51,52,8,2,2,110,8
3/19/2020,82,35,5,1,1,88,8
3/18/2020,119,46,5,1,2,106,8
3/17/2020,89,42,8,1,2,112,8
3/16/2020,59,38,9,2,3,88,8
3/15/2020,88,35,5,2,2,56,8
3/14/2020,72,35,4,1,3,106,8
